"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-20","0.00","0.0","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-21","0.00","0.0","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-22","0.33","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-23","0.24","4.0","4.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-24","0.07","0.0","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-25","0.00","0.1","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-26","0.15","2.8","4.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-27","0.00","0.0","4.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-02-28","0.00","0.0","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-01","0.26","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-02","0.00","0.1","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-03","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-04","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-05","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-06","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-07","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-08","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-09","0.00","0.1","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-10","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-11","0.12","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-12","0.35","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-13","0.31","3.8","4.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-14","0.00","0.0","3.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-15","0.00","0.0","1.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-16","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-17","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-18","0.15","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-19","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-20","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-21","0.06","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-22","0.02","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-23","0.05","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-24","0.02","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-25","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-26","0.09","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-27","0.81","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-28","0.66","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-29","0.01","0.1","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-30","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-03-31","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-01","0.13","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-02","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-03","0.35","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-04","1.35","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-05","0.08","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-06","0.01","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-07","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-08","0.01","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-09","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-10","0.06",,"0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-11","0.34","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-12","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-13","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-14","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-15","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-16","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-17","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-18","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-19","0.15","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-20","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-21","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-22","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-23","0.15","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-24","0.35","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-25","0.77","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-26","0.01","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-27","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-28","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-29","0.01","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-04-30","0.77","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-01","0.04","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-02","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-03","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-04","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-05","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-06","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-07","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-08","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-09","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-10","0.02","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-11","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-12","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-13","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-14","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-15","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-16","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-17","0.01","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-18","0.12","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-19","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-20","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-21","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-22","0.32","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-23","0.13","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-24","1.10","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-25","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-26","0.05","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-27","0.10","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-28","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-29","0.32","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-30","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-05-31","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-01","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-02","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-03","0.37","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-04","0.10","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-05","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-06","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-07","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-08","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-09","0.00","0.0","0.0"
"USC00129427","WEST LAFAYETTE PURDU, IN US","40.41667","-86.91667","189.0","1950-06-10","0.92","0.0","0.0"
